rank,player,rush_att,rush_yds,rush_avg,rush_td,rec_rec,rec_yds,rec_avg,rec_td,scrim_plays,scrim_yds,scrim_avg,scrim_td
1,Dedrick Mills\dedrick-mills-1,32,126,3.9,4,1,4,4.0,0,33,130,3.9,4
2,Justin Thomas\justin-thomas-3,28,169,6.0,1,,,,,28,169,6.0,1
3,Marcus Marshall\marcus-marshall-1,22,90,4.1,1,1,81,81.0,1,23,171,7.4,2
4,Matthew Jordan\matthew-jordan-1,15,49,3.3,3,,,,,15,49,3.3,3
5,Qua Searcy\qua-searcy-1,11,99,9.0,0,6,97,16.2,0,17,196,11.5,0
6,Clinton Lynch\clinton-lynch-2,9,116,12.9,0,2,87,43.5,1,11,203,18.5,1
7,TaQuon Marshall\taquon-marshall-1,7,14,2.0,1,,,,,7,14,2.0,1
8,Lynn Griffin\lynn-griffin-1,5,23,4.6,0,,,,,5,23,4.6,0
9,J.J. Green\jj-green-1,4,28,7.0,0,,,,,4,28,7.0,0
10,Austin McClellan\austin-mcclellan-1,2,14,7.0,0,,,,,2,14,7.0,0
11,Marcus Allen\marcus-allen-4,2,8,4.0,0,,,,,2,8,4.0,0
12,Chase Alford\chase-alford-1,1,21,21.0,0,,,,,1,21,21.0,0
13,Isiah Willis\isiah-willis-1,1,11,11.0,0,,,,,1,11,11.0,0
14,Nate Cottrell\nate-cottrell-1,1,6,6.0,0,,,,,1,6,6.0,0
15,Quaide Weimerskirch\quaide-weimerskirch-1,1,0,0.0,0,,,,,1,0,0.0,0
16,Ricky Jeune\ricky-jeune-1,,,,,6,102,17.0,0,6,102,17.0,0
17,Brad Stewart\brad-stewart-2,,,,,3,30,10.0,0,3,30,10.0,0
18,Mikell Lands-Davis\mikell-lands-davis-1,,,,,1,11,11.0,0,1,11,11.0,0
19,Grant Aasen\grant-aasen-1,,,,,1,9,9.0,0,1,9,9.0,0
